EXT_SOURCE_2,EXT_SOURCE_3,PAYMENT_RATE,DAYS_BIRTH,OBS_30_CNT_SOCIAL_CIRCLE,PREV_CNT_PAYMENT_MEAN,DAYS_EMPLOYED,AMT_REQ_CREDIT_BUREAU_YEAR,PREV_HOUR_APPR_PROCESS_START_MAX,DAYS_ID_PUBLISH,INSTAL_AMT_PAYMENT_MIN,POS_MONTHS_BALANCE_SIZE,REGION_POPULATION_RELATIVE,AMT_ANNUITY,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,CODE_GENDER,ANNUITY_INCOME_PERC,BURO_DAYS_CREDIT_ENDDATE_MAX,PREV_DAYS_DECISION_MIN,INSTAL_DBD_MEAN,HOUR_APPR_PROCESS_START,AMT_CREDIT,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,ACTIVE_DAYS_CREDIT_MAX,INSTAL_AMT_INSTALMENT_SUM,BURO_AMT_CREDIT_SUM_MAX,PREV_DAYS_DECISION_MAX,DAYS_REGISTRATION,REGION_RATING_CLIENT,INSTAL_AMT_INSTALMENT_MAX
0.6528145405850316,0.5100895276257282,0.0361471518987341,-15849,10.0,10.0,-1999.0,0.0,14.0,-4524,3954.465,8.0,0.01885,20560.5,2.0,0,0.2076818181818182,1601.0,-432.0,10.714285714285714,10,568800.0,799.0,-225.0,38180.25,882900.0,-432.0,-890.0,2,14453.46
0.7320057696644309,0.6848276586890367,0.027497380370241,-21278,1.0,21.2,-1648.0,3.0,15.0,-4150,351.0,34.0,0.072508,42511.5,5.0,1,0.2486052631578947,1306.0,-2278.0,4.69811320754717,11,1546020.0,508.0,-520.0,2650382.46,1125000.0,-758.0,-9424.0,1,917890.965
0.7667406406888955,0.633031641417419,0.0642475911581333,-10153,2.0,18.0,-599.0,1.0,17.0,-2027,9675.36,19.0,0.00702,24484.5,1.0,1,0.1813666666666666,1726.0,-1066.0,11.27777777777778,14,381096.0,1507.0,-100.0,176611.365,701100.0,-1066.0,-9635.0,2,9819.765
0.6078954575857285,0.5352762504724826,0.0668,-14321,4.0,3.75,-560.0,1.0,18.0,-3993,26.64,17.0,0.0196889999999999,45090.0,2.0,1,0.3275366108786611,909.0,-2502.0,9.68421052631579,15,675000.0,252.0,-258.0,340081.02,450000.0,-128.0,-3095.0,2,21145.905
0.2344845175172429,0.5352762504724826,0.0989050842774247,-18672,3.0,6.666666666666667,-1699.0,1.0,14.0,-2172,7755.075,21.0,0.025164,25771.5,2.0,0,0.2045357142857143,909.0,-1408.0,23.444444444444443,12,260568.0,252.0,-258.0,215304.93,450000.0,-1051.0,-736.0,2,25838.01
0.5392172100258037,0.8482442999507556,0.0293989983305509,-16883,0.0,6.0,-4489.0,1.0,16.0,-424,16489.755,13.0,0.016612,23773.5,1.0,1,0.1509428571428571,-2441.0,-850.0,6.333333333333333,10,808650.0,252.0,-2146.0,199446.21,180000.0,-850.0,-12703.0,2,16632.405
0.6755131408739299,0.5424451438613613,0.075463382385348,-18314,1.0,12.0,-5440.0,0.0,16.0,-1851,3.825,13.0,0.00702,13869.0,1.0,1,0.1541,865.0,-2752.0,10.0,12,183784.5,4.0,-87.0,36798.345,509161.5,-2752.0,-9783.0,2,1841.175
0.3687597060329724,0.5971924268337128,0.0263774679219799,-15884,2.0,30.0,-1636.0,4.0,15.0,-6138,2.025,50.0,0.031329,41832.0,4.0,0,0.1239466666666666,1465.0,-2630.0,7.430769230769231,18,1585899.0,281.0,-361.0,3612678.75,3926097.0,-309.0,-4694.0,2,433016.55
0.649068182868901,0.5370699579791587,0.03875,-15012,3.0,10.0,-1156.0,0.0,16.0,-4971,3604.23,20.0,0.003069,21622.5,2.0,1,0.1601666666666666,-116.0,-1550.0,6.117647058823529,14,558000.0,252.0,-258.0,495803.97,136206.0,-28.0,-1116.0,3,246444.435
0.3675846402445357,0.5352762504724826,0.0729339318600368,-10347,0.0,12.0,-1035.0,1.0,8.0,-2063,547.92,13.0,0.006852,57028.5,1.0,1,0.25346,909.0,-466.0,7.538461538461538,11,781920.0,252.0,-258.0,224325.945,450000.0,-172.0,-735.0,3,17256.51
